stage,suite,case,family,config_name,strategy,repeat,raw_outcome,final_classification,evidence_status,stop_reason,truncation,saw_unknown,root_outcome,report_complete,proposals,unique_programs,verification_calls,cache_hits,states_explored,transitions_explored,nodes,patch_len,accepted_chain_len,exit_code,wall_ms,wall_ms_basis,search_wall_ms,replay_exit,replay_wall_ms,replay_ok,artifact_sha256,artifact_path,attempt_id,reused_from
repair,smoke,forbidden_scope,smoke_dev,smoke,c,1,no_acceptable_candidate,no_acceptable_candidate,complete,no-acceptable-candidate,,False,FAIL,,0,1,1,0,49,,1,0,0,1,7,search,7,0,3,True,166b429cb678cd7214190665e05a2bc6ebfe85cfdb1280c898415a8d44cd73a5,/Users/kevin/local-repos/ConcIR/experiments/pilot-v2-lifecycle/results/batches/smoke-lifecycle/raw/forbidden_scope__smoke__c__r1__c235c54ac5ae94291fe8f410/attempt-20260918T045107692309-52671-15/artifact.json,20260918T045107692309-52671-15,
repair,smoke,no_lock_candidate,smoke_dev,smoke,a,1,no_acceptable_candidate,no_acceptable_candidate,complete,no-acceptable-candidate,,False,FAIL,,0,1,1,0,5,,1,0,0,1,7,search,7,0,2,True,8cc5d8ed4df86b329ce47ec219773cb71c9d7004bb8db60fcf4db44597a9357e,/Users/kevin/local-repos/ConcIR/experiments/pilot-v2-lifecycle/results/batches/smoke-lifecycle/raw/no_lock_candidate__smoke__a__r1__055817ca645959cd5e4e8a9f/attempt-20260918T045107753729-52671-19/artifact.json,20260918T045107753729-52671-19,
repair,smoke,no_lock_candidate,smoke_dev,smoke,b,1,no_acceptable_candidate,no_acceptable_candidate,complete,no-acceptable-candidate,,False,FAIL,,0,1,1,0,5,,1,0,0,1,7,search,7,0,3,True,4fc511f7bbd68bf2a95d735965977abe1814c4951d1bb0760903acacae59b803,/Users/kevin/local-repos/ConcIR/experiments/pilot-v2-lifecycle/results/batches/smoke-lifecycle/raw/no_lock_candidate__smoke__b__r1__50ef25c2466befbccc03b7da/attempt-20260918T045107765985-52671-20/artifact.json,20260918T045107765985-52671-20,
repair,smoke,no_lock_candidate,smoke_dev,smoke,c,1,no_acceptable_candidate,no_acceptable_candidate,complete,no-acceptable-candidate,,False,FAIL,,0,1,1,0,5,,1,0,0,1,7,search,7,0,2,True,f482b08b8d0dcf7dacc219e89a17e4058279f519c3a12c867a85941c6dfa4633,/Users/kevin/local-repos/ConcIR/experiments/pilot-v2-lifecycle/results/batches/smoke-lifecycle/raw/no_lock_candidate__smoke__c__r1__77cbd7ea4c149b5721d61b3b/attempt-20260918T045107778812-52671-21/artifact.json,20260918T045107778812-52671-21,
repair,smoke,preserved_unfixable,smoke_dev,smoke,a,1,no_acceptable_candidate,no_acceptable_candidate,complete,no-acceptable-candidate,,False,FAIL,,2,3,3,0,135,,3,0,0,1,8,search,8,0,4,True,1be5c875047aef39aa4074dd2eb6406c4f509f5a8524e4b68285c489528b7eeb,/Users/kevin/local-repos/ConcIR/experiments/pilot-v2-lifecycle/results/batches/smoke-lifecycle/raw/preserved_unfixable__smoke__a__r1__5bd2d1385d978b8694d1a289/attempt-20260918T045107705292-52671-16/artifact.json,20260918T045107705292-52671-16,
repair,smoke,preserved_unfixable,smoke_dev,smoke,b,1,no_acceptable_candidate,no_acceptable_candidate,complete,no-acceptable-candidate,,False,FAIL,,8,4,4,5,176,,4,0,0,1,9,search,9,0,5,True,856c56373e649e331cfc39bb73aa6d2264241652050105bea2b829f18b5db0dd,/Users/kevin/local-repos/ConcIR/experiments/pilot-v2-lifecycle/results/batches/smoke-lifecycle/raw/preserved_unfixable__smoke__b__r1__01b5dfac2832ca46cf38b108/attempt-20260918T045107720550-52671-17/artifact.json,20260918T045107720550-52671-17,
repair,smoke,preserved_unfixable,smoke_dev,smoke,c,1,no_acceptable_candidate,no_acceptable_candidate,complete,no-acceptable-candidate,,False,FAIL,,8,4,4,5,176,,4,0,0,1,9,search,9,0,4,True,30f3ba9259d27862d369486788cce6a7b95c344a0b5b2920db31e3080abc1d79,/Users/kevin/local-repos/ConcIR/experiments/pilot-v2-lifecycle/results/batches/smoke-lifecycle/raw/preserved_unfixable__smoke__c__r1__2fcc0eb4fb34b24c73ecf30e/attempt-20260918T045107737256-52671-18/artifact.json,20260918T045107737256-52671-18,
repair,smoke,single_cycle,smoke_dev,smoke,a,1,repaired,repaired,complete,solved,,False,FAIL,,1,2,2,0,92,,2,1,1,0,8,search,8,0,5,True,9051091ede88893069d45558321e58637ac2cb455de98e892856646e599f7fd9,/Users/kevin/local-repos/ConcIR/experiments/pilot-v2-lifecycle/results/batches/smoke-lifecycle/raw/single_cycle__smoke__a__r1__ce0f2c5c7a2de764c0fc926a/attempt-20260918T045103967871-52671-4/artifact.json,20260918T045103967871-52671-4,
repair,smoke,single_cycle,smoke_dev,smoke,b,1,repaired,repaired,complete,solved,,False,FAIL,,1,2,2,0,92,,2,1,1,0,8,search,8,0,4,True,f2efcb2bd57ed8c2f4393a9bc9e98374eabb804af7b33bf76512bd6e37f3963c,/Users/kevin/local-repos/ConcIR/experiments/pilot-v2-lifecycle/results/batches/smoke-lifecycle/raw/single_cycle__smoke__b__r1__8ebd4177b62317a750d4b5af/attempt-20260918T045103983230-52671-5/artifact.json,20260918T045103983230-52671-5,
repair,smoke,single_cycle,smoke_dev,smoke,c,1,repaired,repaired,complete,solved,,False,FAIL,,1,2,2,0,92,,2,1,1,0,8,search,8,0,4,True,a0023d4c73efbc8f4007b6214b014504e2d7086d283db8c0bed4ca2a0ffbc6ac,/Users/kevin/local-repos/ConcIR/experiments/pilot-v2-lifecycle/results/batches/smoke-lifecycle/raw/single_cycle__smoke__c__r1__100e1989e6dd6fe5359d5015/attempt-20260918T045103998528-52671-6/artifact.json,20260918T045103998528-52671-6,
repair,smoke,two_cycles,smoke_dev,smoke,a,1,no_acceptable_candidate,no_acceptable_candidate,complete,no-acceptable-candidate,,False,FAIL,,4,5,5,0,9927,,5,0,0,1,226,search,226,0,274,True,7e5d661dc374a2b11a655af9516ba08eec38e623342186a149daaef9d2897445,/Users/kevin/local-repos/ConcIR/experiments/pilot-v2-lifecycle/results/batches/smoke-lifecycle/raw/two_cycles__smoke__a__r1__9b8281a4ec3c2318fc7a84fe/attempt-20260918T045104013158-52671-7/artifact.json,20260918T045104013158-52671-7,
repair,smoke,two_cycles,smoke_dev,smoke,b,1,repaired,repaired,complete,solved,,False,FAIL,,7,7,7,1,13445,,7,2,2,0,320,search,320,0,397,True,22c437ca68d2832fede8279f69575d19bcab9035e843cc0e1dfbfc66e925ef40,/Users/kevin/local-repos/ConcIR/experiments/pilot-v2-lifecycle/results/batches/smoke-lifecycle/raw/two_cycles__smoke__b__r1__f686818cb283eff1330d0c21/attempt-20260918T045104516519-52671-8/artifact.json,20260918T045104516519-52671-8,
repair,smoke,two_cycles,smoke_dev,smoke,c,1,repaired,repaired,complete,solved,,False,FAIL,,5,6,6,0,11610,,6,2,2,0,264,search,264,0,342,True,956d76613525638a3d1de6eb99db12e7e02d45ebc3450e60381f0e8407efe98b,/Users/kevin/local-repos/ConcIR/experiments/pilot-v2-lifecycle/results/batches/smoke-lifecycle/raw/two_cycles__smoke__c__r1__4d82862fdcd830aa64475119/attempt-20260918T045105237370-52671-9/artifact.json,20260918T045105237370-52671-9,
