suite,case,family,strategy,repeat,config_name,config,raw_outcome,final_classification,stop_reason,truncation,saw_unknown,root_outcome,proposals,unique_programs,verification_calls,cache_hits,states_explored,nodes,patch_len,accepted_chain_len,exit_code,wall_ms,replay_exit,replay_wall_ms,replay_ok,model_sha256,contract_sha256,binary_sha256,source_id,artifact_path,reused_from_previous
smoke,cross_module_two_cycles,smoke_dev,b,1,smoke,"{""candidate_budget"":64,""max_depth"":4,""max_total_edits"":4,""verification_budget"":64}",repaired,repaired,solved,,False,FAIL,7,7,7,1,13445,7,2,2,0,308,0,391,True,97561e857d868faf4b20349f5823a541e890acc371f99eca20a8c27eff29d3ad,d11bab83c507d8c633a685a2c6f36a910dcea197ffb2791238ad54f50f42cbd4,65a8f633f986e890d2e4256700db3ab62c1ee3b69418af30e61531b3c96b62c6,e8480c4a54840e68d7cf3a62c5075e4fc02e6966+dirty:e3b0c44298fc,/Users/kevin/local-repos/ConcIR/experiments/pilot-v1/raw/smoke/cross_module_two_cycles__smoke__b__r1/artifact.json,False
smoke,cross_module_two_cycles,smoke_dev,c,1,smoke,"{""candidate_budget"":64,""max_depth"":4,""max_total_edits"":4,""verification_budget"":64}",repaired,repaired,solved,,False,FAIL,5,6,6,0,11610,6,2,2,0,269,0,348,True,97561e857d868faf4b20349f5823a541e890acc371f99eca20a8c27eff29d3ad,d11bab83c507d8c633a685a2c6f36a910dcea197ffb2791238ad54f50f42cbd4,65a8f633f986e890d2e4256700db3ab62c1ee3b69418af30e61531b3c96b62c6,e8480c4a54840e68d7cf3a62c5075e4fc02e6966+dirty:e3b0c44298fc,/Users/kevin/local-repos/ConcIR/experiments/pilot-v1/raw/smoke/cross_module_two_cycles__smoke__c__r1/artifact.json,False
smoke,forbidden_scope,smoke_dev,a,1,smoke,"{""candidate_budget"":64,""max_depth"":4,""max_total_edits"":4,""verification_budget"":64}",no_acceptable_candidate,no_acceptable_candidate,no-acceptable-candidate,,False,FAIL,0,1,1,0,49,1,0,0,1,7,0,3,True,9674ddc7261cc7116ba6a06b2bc0a9b0272339dfbdeb1bf886a05382d5205141,3a14840a37947790899efbdcc6056f3e21e3193b21810d151cd666d97c5e2696,65a8f633f986e890d2e4256700db3ab62c1ee3b69418af30e61531b3c96b62c6,e8480c4a54840e68d7cf3a62c5075e4fc02e6966+dirty:e3b0c44298fc,/Users/kevin/local-repos/ConcIR/experiments/pilot-v1/raw/smoke/forbidden_scope__smoke__a__r1/artifact.json,False
smoke,forbidden_scope,smoke_dev,b,1,smoke,"{""candidate_budget"":64,""max_depth"":4,""max_total_edits"":4,""verification_budget"":64}",no_acceptable_candidate,no_acceptable_candidate,no-acceptable-candidate,,False,FAIL,0,1,1,0,49,1,0,0,1,7,0,3,True,9674ddc7261cc7116ba6a06b2bc0a9b0272339dfbdeb1bf886a05382d5205141,3a14840a37947790899efbdcc6056f3e21e3193b21810d151cd666d97c5e2696,65a8f633f986e890d2e4256700db3ab62c1ee3b69418af30e61531b3c96b62c6,e8480c4a54840e68d7cf3a62c5075e4fc02e6966+dirty:e3b0c44298fc,/Users/kevin/local-repos/ConcIR/experiments/pilot-v1/raw/smoke/forbidden_scope__smoke__b__r1/artifact.json,False
smoke,forbidden_scope,smoke_dev,c,1,smoke,"{""candidate_budget"":64,""max_depth"":4,""max_total_edits"":4,""verification_budget"":64}",no_acceptable_candidate,no_acceptable_candidate,no-acceptable-candidate,,False,FAIL,0,1,1,0,49,1,0,0,1,7,0,3,True,9674ddc7261cc7116ba6a06b2bc0a9b0272339dfbdeb1bf886a05382d5205141,3a14840a37947790899efbdcc6056f3e21e3193b21810d151cd666d97c5e2696,65a8f633f986e890d2e4256700db3ab62c1ee3b69418af30e61531b3c96b62c6,e8480c4a54840e68d7cf3a62c5075e4fc02e6966+dirty:e3b0c44298fc,/Users/kevin/local-repos/ConcIR/experiments/pilot-v1/raw/smoke/forbidden_scope__smoke__c__r1/artifact.json,False
smoke,preserved_unfixable,smoke_dev,a,1,smoke,"{""candidate_budget"":64,""max_depth"":4,""max_total_edits"":4,""verification_budget"":64}",no_acceptable_candidate,no_acceptable_candidate,no-acceptable-candidate,,False,FAIL,2,3,3,0,135,3,0,0,1,8,0,4,True,35b577c051612868d253932bc7f99c580418d7e454a714bb62f04f69afec6dad,8293c14b02541480e75be45492271b968f201008b20cbf7fa357b0b876a84889,65a8f633f986e890d2e4256700db3ab62c1ee3b69418af30e61531b3c96b62c6,e8480c4a54840e68d7cf3a62c5075e4fc02e6966+dirty:e3b0c44298fc,/Users/kevin/local-repos/ConcIR/experiments/pilot-v1/raw/smoke/preserved_unfixable__smoke__a__r1/artifact.json,False
smoke,preserved_unfixable,smoke_dev,b,1,smoke,"{""candidate_budget"":64,""max_depth"":4,""max_total_edits"":4,""verification_budget"":64}",no_acceptable_candidate,no_acceptable_candidate,no-acceptable-candidate,,False,FAIL,8,4,4,5,176,4,0,0,1,9,0,5,True,35b577c051612868d253932bc7f99c580418d7e454a714bb62f04f69afec6dad,8293c14b02541480e75be45492271b968f201008b20cbf7fa357b0b876a84889,65a8f633f986e890d2e4256700db3ab62c1ee3b69418af30e61531b3c96b62c6,e8480c4a54840e68d7cf3a62c5075e4fc02e6966+dirty:e3b0c44298fc,/Users/kevin/local-repos/ConcIR/experiments/pilot-v1/raw/smoke/preserved_unfixable__smoke__b__r1/artifact.json,False
smoke,preserved_unfixable,smoke_dev,c,1,smoke,"{""candidate_budget"":64,""max_depth"":4,""max_total_edits"":4,""verification_budget"":64}",no_acceptable_candidate,no_acceptable_candidate,no-acceptable-candidate,,False,FAIL,8,4,4,5,176,4,0,0,1,9,0,5,True,35b577c051612868d253932bc7f99c580418d7e454a714bb62f04f69afec6dad,8293c14b02541480e75be45492271b968f201008b20cbf7fa357b0b876a84889,65a8f633f986e890d2e4256700db3ab62c1ee3b69418af30e61531b3c96b62c6,e8480c4a54840e68d7cf3a62c5075e4fc02e6966+dirty:e3b0c44298fc,/Users/kevin/local-repos/ConcIR/experiments/pilot-v1/raw/smoke/preserved_unfixable__smoke__c__r1/artifact.json,False
smoke,no_lock_candidate,smoke_dev,a,1,smoke,"{""candidate_budget"":64,""max_depth"":4,""max_total_edits"":4,""verification_budget"":64}",no_acceptable_candidate,no_acceptable_candidate,no-acceptable-candidate,,False,FAIL,0,1,1,0,5,1,0,0,1,6,0,2,True,9ccc4d4e0dac86e35637ca75f8cfaf8e08b27f6c67512b8346fc7bd9a72cfdf8,0e2cf45274ebf9175ae37b498cb62227063c8ebc9391185d843ea6eeac90d054,65a8f633f986e890d2e4256700db3ab62c1ee3b69418af30e61531b3c96b62c6,e8480c4a54840e68d7cf3a62c5075e4fc02e6966+dirty:e3b0c44298fc,/Users/kevin/local-repos/ConcIR/experiments/pilot-v1/raw/smoke/no_lock_candidate__smoke__a__r1/artifact.json,False
smoke,no_lock_candidate,smoke_dev,b,1,smoke,"{""candidate_budget"":64,""max_depth"":4,""max_total_edits"":4,""verification_budget"":64}",no_acceptable_candidate,no_acceptable_candidate,no-acceptable-candidate,,False,FAIL,0,1,1,0,5,1,0,0,1,9,0,2,True,9ccc4d4e0dac86e35637ca75f8cfaf8e08b27f6c67512b8346fc7bd9a72cfdf8,0e2cf45274ebf9175ae37b498cb62227063c8ebc9391185d843ea6eeac90d054,65a8f633f986e890d2e4256700db3ab62c1ee3b69418af30e61531b3c96b62c6,e8480c4a54840e68d7cf3a62c5075e4fc02e6966+dirty:e3b0c44298fc,/Users/kevin/local-repos/ConcIR/experiments/pilot-v1/raw/smoke/no_lock_candidate__smoke__b__r1/artifact.json,False
smoke,no_lock_candidate,smoke_dev,c,1,smoke,"{""candidate_budget"":64,""max_depth"":4,""max_total_edits"":4,""verification_budget"":64}",no_acceptable_candidate,no_acceptable_candidate,no-acceptable-candidate,,False,FAIL,0,1,1,0,5,1,0,0,1,7,0,3,True,9ccc4d4e0dac86e35637ca75f8cfaf8e08b27f6c67512b8346fc7bd9a72cfdf8,0e2cf45274ebf9175ae37b498cb62227063c8ebc9391185d843ea6eeac90d054,65a8f633f986e890d2e4256700db3ab62c1ee3b69418af30e61531b3c96b62c6,e8480c4a54840e68d7cf3a62c5075e4fc02e6966+dirty:e3b0c44298fc,/Users/kevin/local-repos/ConcIR/experiments/pilot-v1/raw/smoke/no_lock_candidate__smoke__c__r1/artifact.json,False
smoke,budget_truncated,smoke_dev,a,1,smoke,"{""candidate_budget"":1,""max_depth"":4,""max_total_edits"":4,""verification_budget"":64}",budget_exhausted,budget_exhausted,candidate-budget,,False,FAIL,1,2,2,0,4140,2,0,0,1,104,0,149,True,9d43e80c423b713db3df0261337c698f9ff59312f25f3160bd700a6a698694ed,54be59bd1274fbec6add210ea8c748c528b8e07951434cd3d4c7cd549879689b,65a8f633f986e890d2e4256700db3ab62c1ee3b69418af30e61531b3c96b62c6,e8480c4a54840e68d7cf3a62c5075e4fc02e6966+dirty:e3b0c44298fc,/Users/kevin/local-repos/ConcIR/experiments/pilot-v1/raw/smoke/budget_truncated__smoke__a__r1/artifact.json,False
smoke,budget_truncated,smoke_dev,b,1,smoke,"{""candidate_budget"":1,""max_depth"":4,""max_total_edits"":4,""verification_budget"":64}",budget_exhausted,budget_exhausted,candidate-budget,,False,FAIL,1,2,2,0,4140,2,0,0,1,105,0,150,True,9d43e80c423b713db3df0261337c698f9ff59312f25f3160bd700a6a698694ed,54be59bd1274fbec6add210ea8c748c528b8e07951434cd3d4c7cd549879689b,65a8f633f986e890d2e4256700db3ab62c1ee3b69418af30e61531b3c96b62c6,e8480c4a54840e68d7cf3a62c5075e4fc02e6966+dirty:e3b0c44298fc,/Users/kevin/local-repos/ConcIR/experiments/pilot-v1/raw/smoke/budget_truncated__smoke__b__r1/artifact.json,False
smoke,budget_truncated,smoke_dev,c,1,smoke,"{""candidate_budget"":1,""max_depth"":4,""max_total_edits"":4,""verification_budget"":64}",budget_exhausted,budget_exhausted,candidate-budget,,False,FAIL,1,2,2,0,4140,2,0,0,1,104,0,150,True,9d43e80c423b713db3df0261337c698f9ff59312f25f3160bd700a6a698694ed,54be59bd1274fbec6add210ea8c748c528b8e07951434cd3d4c7cd549879689b,65a8f633f986e890d2e4256700db3ab62c1ee3b69418af30e61531b3c96b62c6,e8480c4a54840e68d7cf3a62c5075e4fc02e6966+dirty:e3b0c44298fc,/Users/kevin/local-repos/ConcIR/experiments/pilot-v1/raw/smoke/budget_truncated__smoke__c__r1/artifact.json,False
pilot,p1_same,one_defect,a,1,main,"{""candidate_budget"":64,""max_depth"":4,""max_total_edits"":4,""verification_budget"":64}",repaired,repaired,solved,,False,FAIL,1,2,2,0,92,2,1,1,0,8,0,4,True,0dbff9d6f59e1ba381a8c33531742644fc6223ad8a2f07cebb947dac875db341,ae33c92e15daa342c4db81578e81d5a132a3ac24c6eea22cf88ae0c3b49407ac,65a8f633f986e890d2e4256700db3ab62c1ee3b69418af30e61531b3c96b62c6,e8480c4a54840e68d7cf3a62c5075e4fc02e6966+dirty:e3b0c44298fc,/Users/kevin/local-repos/ConcIR/experiments/pilot-v1/raw/pilot/p1_same__main__a__r1/artifact.json,False
pilot,p1_same,one_defect,a,2,main,"{""candidate_budget"":64,""max_depth"":4,""max_total_edits"":4,""verification_budget"":64}",repaired,repaired,solved,,False,FAIL,1,2,2,0,92,2,1,1,0,8,0,4,True,0dbff9d6f59e1ba381a8c33531742644fc6223ad8a2f07cebb947dac875db341,ae33c92e15daa342c4db81578e81d5a132a3ac24c6eea22cf88ae0c3b49407ac,65a8f633f986e890d2e4256700db3ab62c1ee3b69418af30e61531b3c96b62c6,e8480c4a54840e68d7cf3a62c5075e4fc02e6966+dirty:e3b0c44298fc,/Users/kevin/local-repos/ConcIR/experiments/pilot-v1/raw/pilot/p1_same__main__a__r2/artifact.json,False
pilot,p1_same,one_defect,a,3,main,"{""candidate_budget"":64,""max_depth"":4,""max_total_edits"":4,""verification_budget"":64}",repaired,repaired,solved,,False,FAIL,1,2,2,0,92,2,1,1,0,8,0,4,True,0dbff9d6f59e1ba381a8c33531742644fc6223ad8a2f07cebb947dac875db341,ae33c92e15daa342c4db81578e81d5a132a3ac24c6eea22cf88ae0c3b49407ac,65a8f633f986e890d2e4256700db3ab62c1ee3b69418af30e61531b3c96b62c6,e8480c4a54840e68d7cf3a62c5075e4fc02e6966+dirty:e3b0c44298fc,/Users/kevin/local-repos/ConcIR/experiments/pilot-v1/raw/pilot/p1_same__main__a__r3/artifact.json,False
pilot,p1_same,one_defect,a,1,tight,"{""candidate_budget"":8,""max_depth"":1,""max_total_edits"":1,""verification_budget"":4}",repaired,repaired,solved,,False,FAIL,1,2,2,0,92,2,1,1,0,8,0,4,True,0dbff9d6f59e1ba381a8c33531742644fc6223ad8a2f07cebb947dac875db341,ae33c92e15daa342c4db81578e81d5a132a3ac24c6eea22cf88ae0c3b49407ac,65a8f633f986e890d2e4256700db3ab62c1ee3b69418af30e61531b3c96b62c6,e8480c4a54840e68d7cf3a62c5075e4fc02e6966+dirty:e3b0c44298fc,/Users/kevin/local-repos/ConcIR/experiments/pilot-v1/raw/pilot/p1_same__tight__a__r1/artifact.json,False
pilot,p1_same,one_defect,b,1,main,"{""candidate_budget"":64,""max_depth"":4,""max_total_edits"":4,""verification_budget"":64}",repaired,repaired,solved,,False,FAIL,1,2,2,0,92,2,1,1,0,7,0,4,True,0dbff9d6f59e1ba381a8c33531742644fc6223ad8a2f07cebb947dac875db341,ae33c92e15daa342c4db81578e81d5a132a3ac24c6eea22cf88ae0c3b49407ac,65a8f633f986e890d2e4256700db3ab62c1ee3b69418af30e61531b3c96b62c6,e8480c4a54840e68d7cf3a62c5075e4fc02e6966+dirty:e3b0c44298fc,/Users/kevin/local-repos/ConcIR/experiments/pilot-v1/raw/pilot/p1_same__main__b__r1/artifact.json,False
pilot,p1_same,one_defect,b,2,main,"{""candidate_budget"":64,""max_depth"":4,""max_total_edits"":4,""verification_budget"":64}",repaired,repaired,solved,,False,FAIL,1,2,2,0,92,2,1,1,0,7,0,4,True,0dbff9d6f59e1ba381a8c33531742644fc6223ad8a2f07cebb947dac875db341,ae33c92e15daa342c4db81578e81d5a132a3ac24c6eea22cf88ae0c3b49407ac,65a8f633f986e890d2e4256700db3ab62c1ee3b69418af30e61531b3c96b62c6,e8480c4a54840e68d7cf3a62c5075e4fc02e6966+dirty:e3b0c44298fc,/Users/kevin/local-repos/ConcIR/experiments/pilot-v1/raw/pilot/p1_same__main__b__r2/artifact.json,False
pilot,p1_same,one_defect,b,3,main,"{""candidate_budget"":64,""max_depth"":4,""max_total_edits"":4,""verification_budget"":64}",repaired,repaired,solved,,False,FAIL,1,2,2,0,92,2,1,1,0,8,0,4,True,0dbff9d6f59e1ba381a8c33531742644fc6223ad8a2f07cebb947dac875db341,ae33c92e15daa342c4db81578e81d5a132a3ac24c6eea22cf88ae0c3b49407ac,65a8f633f986e890d2e4256700db3ab62c1ee3b69418af30e61531b3c96b62c6,e8480c4a54840e68d7cf3a62c5075e4fc02e6966+dirty:e3b0c44298fc,/Users/kevin/local-repos/ConcIR/experiments/pilot-v1/raw/pilot/p1_same__main__b__r3/artifact.json,False
pilot,p1_same,one_defect,b,1,tight,"{""candidate_budget"":8,""max_depth"":1,""max_total_edits"":1,""verification_budget"":4}",repaired,repaired,solved,,False,FAIL,1,2,2,0,92,2,1,1,0,8,0,4,True,0dbff9d6f59e1ba381a8c33531742644fc6223ad8a2f07cebb947dac875db341,ae33c92e15daa342c4db81578e81d5a132a3ac24c6eea22cf88ae0c3b49407ac,65a8f633f986e890d2e4256700db3ab62c1ee3b69418af30e61531b3c96b62c6,e8480c4a54840e68d7cf3a62c5075e4fc02e6966+dirty:e3b0c44298fc,/Users/kevin/local-repos/ConcIR/experiments/pilot-v1/raw/pilot/p1_same__tight__b__r1/artifact.json,False
pilot,p1_same,one_defect,c,1,main,"{""candidate_budget"":64,""max_depth"":4,""max_total_edits"":4,""verification_budget"":64}",repaired,repaired,solved,,False,FAIL,1,2,2,0,92,2,1,1,0,8,0,4,True,0dbff9d6f59e1ba381a8c33531742644fc6223ad8a2f07cebb947dac875db341,ae33c92e15daa342c4db81578e81d5a132a3ac24c6eea22cf88ae0c3b49407ac,65a8f633f986e890d2e4256700db3ab62c1ee3b69418af30e61531b3c96b62c6,e8480c4a54840e68d7cf3a62c5075e4fc02e6966+dirty:e3b0c44298fc,/Users/kevin/local-repos/ConcIR/experiments/pilot-v1/raw/pilot/p1_same__main__c__r1/artifact.json,False
pilot,p1_same,one_defect,c,2,main,"{""candidate_budget"":64,""max_depth"":4,""max_total_edits"":4,""verification_budget"":64}",repaired,repaired,solved,,False,FAIL,1,2,2,0,92,2,1,1,0,7,0,4,True,0dbff9d6f59e1ba381a8c33531742644fc6223ad8a2f07cebb947dac875db341,ae33c92e15daa342c4db81578e81d5a132a3ac24c6eea22cf88ae0c3b49407ac,65a8f633f986e890d2e4256700db3ab62c1ee3b69418af30e61531b3c96b62c6,e8480c4a54840e68d7cf3a62c5075e4fc02e6966+dirty:e3b0c44298fc,/Users/kevin/local-repos/ConcIR/experiments/pilot-v1/raw/pilot/p1_same__main__c__r2/artifact.json,False
pilot,p1_same,one_defect,c,3,main,"{""candidate_budget"":64,""max_depth"":4,""max_total_edits"":4,""verification_budget"":64}",repaired,repaired,solved,,False,FAIL,1,2,2,0,92,2,1,1,0,7,0,4,True,0dbff9d6f59e1ba381a8c33531742644fc6223ad8a2f07cebb947dac875db341,ae33c92e15daa342c4db81578e81d5a132a3ac24c6eea22cf88ae0c3b49407ac,65a8f633f986e890d2e4256700db3ab62c1ee3b69418af30e61531b3c96b62c6,e8480c4a54840e68d7cf3a62c5075e4fc02e6966+dirty:e3b0c44298fc,/Users/kevin/local-repos/ConcIR/experiments/pilot-v1/raw/pilot/p1_same__main__c__r3/artifact.json,False
pilot,p1_same,one_defect,c,1,tight,"{""candidate_budget"":8,""max_depth"":1,""max_total_edits"":1,""verification_budget"":4}",repaired,repaired,solved,,False,FAIL,1,2,2,0,92,2,1,1,0,7,0,4,True,0dbff9d6f59e1ba381a8c33531742644fc6223ad8a2f07cebb947dac875db341,ae33c92e15daa342c4db81578e81d5a132a3ac24c6eea22cf88ae0c3b49407ac,65a8f633f986e890d2e4256700db3ab62c1ee3b69418af30e61531b3c96b62c6,e8480c4a54840e68d7cf3a62c5075e4fc02e6966+dirty:e3b0c44298fc,/Users/kevin/local-repos/ConcIR/experiments/pilot-v1/raw/pilot/p1_same__tight__c__r1/artifact.json,False
pilot,p1_cross,one_defect,a,1,main,"{""candidate_budget"":64,""max_depth"":4,""max_total_edits"":4,""verification_budget"":64}",repaired,repaired,solved,,False,FAIL,1,2,2,0,92,2,1,1,0,7,0,4,True,7c9fef404ddb1d3e9cfc3c58b6e7efa47fdddb5a64d7e4d8ff9aa5d2aa804ce0,44ce09ff05f04a83c2cb86e468f4031d94f21c869e2d2aa28bb6e6502d3a1590,65a8f633f986e890d2e4256700db3ab62c1ee3b69418af30e61531b3c96b62c6,e8480c4a54840e68d7cf3a62c5075e4fc02e6966+dirty:e3b0c44298fc,/Users/kevin/local-repos/ConcIR/experiments/pilot-v1/raw/pilot/p1_cross__main__a__r1/artifact.json,False
pilot,p1_cross,one_defect,a,2,main,"{""candidate_budget"":64,""max_depth"":4,""max_total_edits"":4,""verification_budget"":64}",repaired,repaired,solved,,False,FAIL,1,2,2,0,92,2,1,1,0,7,0,4,True,7c9fef404ddb1d3e9cfc3c58b6e7efa47fdddb5a64d7e4d8ff9aa5d2aa804ce0,44ce09ff05f04a83c2cb86e468f4031d94f21c869e2d2aa28bb6e6502d3a1590,65a8f633f986e890d2e4256700db3ab62c1ee3b69418af30e61531b3c96b62c6,e8480c4a54840e68d7cf3a62c5075e4fc02e6966+dirty:e3b0c44298fc,/Users/kevin/local-repos/ConcIR/experiments/pilot-v1/raw/pilot/p1_cross__main__a__r2/artifact.json,False
