stage,suite,case,family,config_name,strategy,repeat,raw_outcome,final_classification,evidence_status,stop_reason,truncation,saw_unknown,root_outcome,proposals,unique_programs,verification_calls,cache_hits,states_explored,transitions_explored,nodes,patch_len,accepted_chain_len,exit_code,wall_ms,search_wall_ms,replay_exit,replay_wall_ms,replay_ok,artifact_sha256,artifact_path,reused_from
repair,pilot,c_already_correct,controls,tight,b,1,already_satisfied,already_satisfied,complete,already-satisfied,,False,PASS,0,1,1,0,8,,1,0,0,0,6,6,0,2,True,76cf04bb7477f06dbf007d242316fe4f0089c5fab54ad5d9914fb467886d3183,/Users/kevin/local-repos/ConcIR/experiments/pilot-v2/results/batches/pilot-v2/raw/c_already_correct__tight__b__r1/attempt-001/artifact.json,
repair,pilot,c_already_correct,controls,tight,c,1,already_satisfied,already_satisfied,complete,already-satisfied,,False,PASS,0,1,1,0,8,,1,0,0,0,6,6,0,3,True,b5287c8c77bfa33f6158e620c317855257ee4e7ae16964b929ac4eab064a068a,/Users/kevin/local-repos/ConcIR/experiments/pilot-v2/results/batches/pilot-v2/raw/c_already_correct__tight__c__r1/attempt-001/artifact.json,
repair,pilot,c_bounds_unknown,controls,main,a,1,analysis_unknown,analysis_unknown,complete,root-unknown,,True,UNKNOWN,0,1,1,0,50,,1,0,0,3,8,8,0,4,True,03c1a6248af47226f9f9ebbbb80e425ef4734847119aa1d3eb88a23ccf2346f4,/Users/kevin/local-repos/ConcIR/experiments/pilot-v2/results/batches/pilot-v2/raw/c_bounds_unknown__main__a__r1/attempt-001/artifact.json,
repair,pilot,c_bounds_unknown,controls,main,a,2,analysis_unknown,analysis_unknown,complete,root-unknown,,True,UNKNOWN,0,1,1,0,50,,1,0,0,3,8,8,0,4,True,03c1a6248af47226f9f9ebbbb80e425ef4734847119aa1d3eb88a23ccf2346f4,/Users/kevin/local-repos/ConcIR/experiments/pilot-v2/results/batches/pilot-v2/raw/c_bounds_unknown__main__a__r2/attempt-001/artifact.json,
repair,pilot,c_bounds_unknown,controls,main,a,3,analysis_unknown,analysis_unknown,complete,root-unknown,,True,UNKNOWN,0,1,1,0,50,,1,0,0,3,8,8,0,4,True,03c1a6248af47226f9f9ebbbb80e425ef4734847119aa1d3eb88a23ccf2346f4,/Users/kevin/local-repos/ConcIR/experiments/pilot-v2/results/batches/pilot-v2/raw/c_bounds_unknown__main__a__r3/attempt-001/artifact.json,
repair,pilot,c_bounds_unknown,controls,main,b,1,analysis_unknown,analysis_unknown,complete,root-unknown,,True,UNKNOWN,0,1,1,0,50,,1,0,0,3,8,8,0,4,True,017dea57284023829fe22f973846540cf97fff0904eb47ebfb95797ddb41eb39,/Users/kevin/local-repos/ConcIR/experiments/pilot-v2/results/batches/pilot-v2/raw/c_bounds_unknown__main__b__r1/attempt-001/artifact.json,
repair,pilot,c_bounds_unknown,controls,main,b,2,analysis_unknown,analysis_unknown,complete,root-unknown,,True,UNKNOWN,0,1,1,0,50,,1,0,0,3,7,7,0,4,True,017dea57284023829fe22f973846540cf97fff0904eb47ebfb95797ddb41eb39,/Users/kevin/local-repos/ConcIR/experiments/pilot-v2/results/batches/pilot-v2/raw/c_bounds_unknown__main__b__r2/attempt-001/artifact.json,
repair,pilot,c_bounds_unknown,controls,main,b,3,analysis_unknown,analysis_unknown,complete,root-unknown,,True,UNKNOWN,0,1,1,0,50,,1,0,0,3,7,7,0,4,True,017dea57284023829fe22f973846540cf97fff0904eb47ebfb95797ddb41eb39,/Users/kevin/local-repos/ConcIR/experiments/pilot-v2/results/batches/pilot-v2/raw/c_bounds_unknown__main__b__r3/attempt-001/artifact.json,
repair,pilot,c_bounds_unknown,controls,main,c,1,analysis_unknown,analysis_unknown,complete,root-unknown,,True,UNKNOWN,0,1,1,0,50,,1,0,0,3,8,8,0,3,True,b48666316a21441e5a96f0480ed42e6873fa1af7d3f11a760b91741bbcb5aeea,/Users/kevin/local-repos/ConcIR/experiments/pilot-v2/results/batches/pilot-v2/raw/c_bounds_unknown__main__c__r1/attempt-001/artifact.json,
repair,pilot,c_bounds_unknown,controls,main,c,2,analysis_unknown,analysis_unknown,complete,root-unknown,,True,UNKNOWN,0,1,1,0,50,,1,0,0,3,8,8,0,4,True,b48666316a21441e5a96f0480ed42e6873fa1af7d3f11a760b91741bbcb5aeea,/Users/kevin/local-repos/ConcIR/experiments/pilot-v2/results/batches/pilot-v2/raw/c_bounds_unknown__main__c__r2/attempt-001/artifact.json,
repair,pilot,c_bounds_unknown,controls,main,c,3,analysis_unknown,analysis_unknown,complete,root-unknown,,True,UNKNOWN,0,1,1,0,50,,1,0,0,3,7,7,0,4,True,b48666316a21441e5a96f0480ed42e6873fa1af7d3f11a760b91741bbcb5aeea,/Users/kevin/local-repos/ConcIR/experiments/pilot-v2/results/batches/pilot-v2/raw/c_bounds_unknown__main__c__r3/attempt-001/artifact.json,
repair,pilot,c_bounds_unknown,controls,tight,a,1,analysis_unknown,analysis_unknown,complete,root-unknown,,True,UNKNOWN,0,1,1,0,50,,1,0,0,3,8,8,0,4,True,e0a72fe149ba9734a3878390e7d8545f318793afa3ba8959c2a355e4746e6226,/Users/kevin/local-repos/ConcIR/experiments/pilot-v2/results/batches/pilot-v2/raw/c_bounds_unknown__tight__a__r1/attempt-001/artifact.json,
repair,pilot,c_bounds_unknown,controls,tight,b,1,analysis_unknown,analysis_unknown,complete,root-unknown,,True,UNKNOWN,0,1,1,0,50,,1,0,0,3,8,8,0,4,True,998160aeaac5b350d2915c541f6acd458a2b72d36f233c405e43525166507e84,/Users/kevin/local-repos/ConcIR/experiments/pilot-v2/results/batches/pilot-v2/raw/c_bounds_unknown__tight__b__r1/attempt-001/artifact.json,
repair,pilot,c_bounds_unknown,controls,tight,c,1,analysis_unknown,analysis_unknown,complete,root-unknown,,True,UNKNOWN,0,1,1,0,50,,1,0,0,3,8,8,0,3,True,705a036382a40fa5b58a7ede1ad1d41c0065c96fdafb26199bf719943bdf3b11,/Users/kevin/local-repos/ConcIR/experiments/pilot-v2/results/batches/pilot-v2/raw/c_bounds_unknown__tight__c__r1/attempt-001/artifact.json,
repair,pilot,c_lock_reorder_forbidden,controls,main,a,1,no_acceptable_candidate,no_acceptable_candidate,complete,no-acceptable-candidate,,False,FAIL,0,1,1,0,49,,1,0,0,1,7,7,0,4,True,52adb959de2345cf0e8762c84add910be76f8ed90eba1f56a32511e578580444,/Users/kevin/local-repos/ConcIR/experiments/pilot-v2/results/batches/pilot-v2/raw/c_lock_reorder_forbidden__main__a__r1/attempt-001/artifact.json,
repair,pilot,c_lock_reorder_forbidden,controls,main,a,2,no_acceptable_candidate,no_acceptable_candidate,complete,no-acceptable-candidate,,False,FAIL,0,1,1,0,49,,1,0,0,1,7,7,0,3,True,52adb959de2345cf0e8762c84add910be76f8ed90eba1f56a32511e578580444,/Users/kevin/local-repos/ConcIR/experiments/pilot-v2/results/batches/pilot-v2/raw/c_lock_reorder_forbidden__main__a__r2/attempt-001/artifact.json,
repair,pilot,c_lock_reorder_forbidden,controls,main,a,3,no_acceptable_candidate,no_acceptable_candidate,complete,no-acceptable-candidate,,False,FAIL,0,1,1,0,49,,1,0,0,1,8,8,0,3,True,52adb959de2345cf0e8762c84add910be76f8ed90eba1f56a32511e578580444,/Users/kevin/local-repos/ConcIR/experiments/pilot-v2/results/batches/pilot-v2/raw/c_lock_reorder_forbidden__main__a__r3/attempt-001/artifact.json,
repair,pilot,c_lock_reorder_forbidden,controls,main,b,1,no_acceptable_candidate,no_acceptable_candidate,complete,no-acceptable-candidate,,False,FAIL,0,1,1,0,49,,1,0,0,1,7,7,0,4,True,5befd97745a24d7c3134ce964955ee0697f141f375deb1e885b2ed759050a3ce,/Users/kevin/local-repos/ConcIR/experiments/pilot-v2/results/batches/pilot-v2/raw/c_lock_reorder_forbidden__main__b__r1/attempt-001/artifact.json,
repair,pilot,c_lock_reorder_forbidden,controls,main,b,2,no_acceptable_candidate,no_acceptable_candidate,complete,no-acceptable-candidate,,False,FAIL,0,1,1,0,49,,1,0,0,1,7,7,0,4,True,5befd97745a24d7c3134ce964955ee0697f141f375deb1e885b2ed759050a3ce,/Users/kevin/local-repos/ConcIR/experiments/pilot-v2/results/batches/pilot-v2/raw/c_lock_reorder_forbidden__main__b__r2/attempt-001/artifact.json,
repair,pilot,c_lock_reorder_forbidden,controls,main,b,3,no_acceptable_candidate,no_acceptable_candidate,complete,no-acceptable-candidate,,False,FAIL,0,1,1,0,49,,1,0,0,1,7,7,0,3,True,5befd97745a24d7c3134ce964955ee0697f141f375deb1e885b2ed759050a3ce,/Users/kevin/local-repos/ConcIR/experiments/pilot-v2/results/batches/pilot-v2/raw/c_lock_reorder_forbidden__main__b__r3/attempt-001/artifact.json,
repair,pilot,c_lock_reorder_forbidden,controls,main,c,1,no_acceptable_candidate,no_acceptable_candidate,complete,no-acceptable-candidate,,False,FAIL,0,1,1,0,49,,1,0,0,1,7,7,0,3,True,f318c72ae615eb600b57a54a13d826708cee0533277371490ced83c24baf8f77,/Users/kevin/local-repos/ConcIR/experiments/pilot-v2/results/batches/pilot-v2/raw/c_lock_reorder_forbidden__main__c__r1/attempt-001/artifact.json,
repair,pilot,c_lock_reorder_forbidden,controls,main,c,2,no_acceptable_candidate,no_acceptable_candidate,complete,no-acceptable-candidate,,False,FAIL,0,1,1,0,49,,1,0,0,1,7,7,0,3,True,f318c72ae615eb600b57a54a13d826708cee0533277371490ced83c24baf8f77,/Users/kevin/local-repos/ConcIR/experiments/pilot-v2/results/batches/pilot-v2/raw/c_lock_reorder_forbidden__main__c__r2/attempt-001/artifact.json,
repair,pilot,c_lock_reorder_forbidden,controls,main,c,3,no_acceptable_candidate,no_acceptable_candidate,complete,no-acceptable-candidate,,False,FAIL,0,1,1,0,49,,1,0,0,1,7,7,0,3,True,f318c72ae615eb600b57a54a13d826708cee0533277371490ced83c24baf8f77,/Users/kevin/local-repos/ConcIR/experiments/pilot-v2/results/batches/pilot-v2/raw/c_lock_reorder_forbidden__main__c__r3/attempt-001/artifact.json,
repair,pilot,c_lock_reorder_forbidden,controls,tight,a,1,no_acceptable_candidate,no_acceptable_candidate,complete,no-acceptable-candidate,,False,FAIL,0,1,1,0,49,,1,0,0,1,7,7,0,3,True,1eef301152c77710459f4e14029837503cf95e72233f96130ac0dda181acb946,/Users/kevin/local-repos/ConcIR/experiments/pilot-v2/results/batches/pilot-v2/raw/c_lock_reorder_forbidden__tight__a__r1/attempt-001/artifact.json,
repair,pilot,c_lock_reorder_forbidden,controls,tight,b,1,no_acceptable_candidate,no_acceptable_candidate,complete,no-acceptable-candidate,,False,FAIL,0,1,1,0,49,,1,0,0,1,7,7,0,3,True,90f51268b3be3a2dded85d2d0a8d046f26e11d652c266f3be74fdb0ef33abe31,/Users/kevin/local-repos/ConcIR/experiments/pilot-v2/results/batches/pilot-v2/raw/c_lock_reorder_forbidden__tight__b__r1/attempt-001/artifact.json,
repair,pilot,c_lock_reorder_forbidden,controls,tight,c,1,no_acceptable_candidate,no_acceptable_candidate,complete,no-acceptable-candidate,,False,FAIL,0,1,1,0,49,,1,0,0,1,7,7,0,3,True,b3c14891206bce9335ba719eba7f1b23a0964752127258e3f81193cf8904387a,/Users/kevin/local-repos/ConcIR/experiments/pilot-v2/results/batches/pilot-v2/raw/c_lock_reorder_forbidden__tight__c__r1/attempt-001/artifact.json,
repair,pilot,c_preserved_unsatisfiable,controls,main,a,1,no_acceptable_candidate,no_acceptable_candidate,complete,no-acceptable-candidate,,False,FAIL,2,3,3,0,135,,3,0,0,1,8,8,0,4,True,ed4c6bcb20ac1bbbbbdb7eb12ee056798bffb63f75c377c9d2316f6dafe74280,/Users/kevin/local-repos/ConcIR/experiments/pilot-v2/results/batches/pilot-v2/raw/c_preserved_unsatisfiable__main__a__r1/attempt-001/artifact.json,
repair,pilot,c_preserved_unsatisfiable,controls,main,a,2,no_acceptable_candidate,no_acceptable_candidate,complete,no-acceptable-candidate,,False,FAIL,2,3,3,0,135,,3,0,0,1,8,8,0,4,True,ed4c6bcb20ac1bbbbbdb7eb12ee056798bffb63f75c377c9d2316f6dafe74280,/Users/kevin/local-repos/ConcIR/experiments/pilot-v2/results/batches/pilot-v2/raw/c_preserved_unsatisfiable__main__a__r2/attempt-001/artifact.json,
repair,pilot,c_preserved_unsatisfiable,controls,main,a,3,no_acceptable_candidate,no_acceptable_candidate,complete,no-acceptable-candidate,,False,FAIL,2,3,3,0,135,,3,0,0,1,9,9,0,5,True,ed4c6bcb20ac1bbbbbdb7eb12ee056798bffb63f75c377c9d2316f6dafe74280,/Users/kevin/local-repos/ConcIR/experiments/pilot-v2/results/batches/pilot-v2/raw/c_preserved_unsatisfiable__main__a__r3/attempt-001/artifact.json,
repair,pilot,c_preserved_unsatisfiable,controls,main,b,1,no_acceptable_candidate,no_acceptable_candidate,complete,no-acceptable-candidate,,False,FAIL,8,4,4,5,176,,4,0,0,1,9,9,0,5,True,b8e28663abe071488d638b14f271910a8d4974aeee69c0f32505d978e5f7b231,/Users/kevin/local-repos/ConcIR/experiments/pilot-v2/results/batches/pilot-v2/raw/c_preserved_unsatisfiable__main__b__r1/attempt-001/artifact.json,
repair,pilot,c_preserved_unsatisfiable,controls,main,b,2,no_acceptable_candidate,no_acceptable_candidate,complete,no-acceptable-candidate,,False,FAIL,8,4,4,5,176,,4,0,0,1,9,9,0,4,True,b8e28663abe071488d638b14f271910a8d4974aeee69c0f32505d978e5f7b231,/Users/kevin/local-repos/ConcIR/experiments/pilot-v2/results/batches/pilot-v2/raw/c_preserved_unsatisfiable__main__b__r2/attempt-001/artifact.json,
repair,pilot,c_preserved_unsatisfiable,controls,main,b,3,no_acceptable_candidate,no_acceptable_candidate,complete,no-acceptable-candidate,,False,FAIL,8,4,4,5,176,,4,0,0,1,10,10,0,5,True,b8e28663abe071488d638b14f271910a8d4974aeee69c0f32505d978e5f7b231,/Users/kevin/local-repos/ConcIR/experiments/pilot-v2/results/batches/pilot-v2/raw/c_preserved_unsatisfiable__main__b__r3/attempt-001/artifact.json,
repair,pilot,c_preserved_unsatisfiable,controls,main,c,1,no_acceptable_candidate,no_acceptable_candidate,complete,no-acceptable-candidate,,False,FAIL,8,4,4,5,176,,4,0,0,1,9,9,0,5,True,48134e50b9fc64178f969ddc5d114140530ad9cd1f9b8ac3417ec0e4ef0cf727,/Users/kevin/local-repos/ConcIR/experiments/pilot-v2/results/batches/pilot-v2/raw/c_preserved_unsatisfiable__main__c__r1/attempt-001/artifact.json,
repair,pilot,c_preserved_unsatisfiable,controls,main,c,2,no_acceptable_candidate,no_acceptable_candidate,complete,no-acceptable-candidate,,False,FAIL,8,4,4,5,176,,4,0,0,1,9,9,0,5,True,48134e50b9fc64178f969ddc5d114140530ad9cd1f9b8ac3417ec0e4ef0cf727,/Users/kevin/local-repos/ConcIR/experiments/pilot-v2/results/batches/pilot-v2/raw/c_preserved_unsatisfiable__main__c__r2/attempt-001/artifact.json,
repair,pilot,c_preserved_unsatisfiable,controls,main,c,3,no_acceptable_candidate,no_acceptable_candidate,complete,no-acceptable-candidate,,False,FAIL,8,4,4,5,176,,4,0,0,1,9,9,0,5,True,48134e50b9fc64178f969ddc5d114140530ad9cd1f9b8ac3417ec0e4ef0cf727,/Users/kevin/local-repos/ConcIR/experiments/pilot-v2/results/batches/pilot-v2/raw/c_preserved_unsatisfiable__main__c__r3/attempt-001/artifact.json,
repair,pilot,c_preserved_unsatisfiable,controls,tight,a,1,no_acceptable_candidate,no_acceptable_candidate,complete,no-acceptable-candidate,,False,FAIL,2,3,3,0,135,,3,0,0,1,8,8,0,4,True,5557a435ce2adc94c590f934d96d4708b5ed9c8e0b270fb12860110aa5f5fb53,/Users/kevin/local-repos/ConcIR/experiments/pilot-v2/results/batches/pilot-v2/raw/c_preserved_unsatisfiable__tight__a__r1/attempt-001/artifact.json,
repair,pilot,c_preserved_unsatisfiable,controls,tight,b,1,budget_exhausted,budget_exhausted,complete,max-depth,max-depth,False,FAIL,2,3,3,0,135,,3,0,0,1,8,8,0,4,True,84b3399260e3e0715589cd6145835dbc6b0e240c833777114cdff4782878d9ac,/Users/kevin/local-repos/ConcIR/experiments/pilot-v2/results/batches/pilot-v2/raw/c_preserved_unsatisfiable__tight__b__r1/attempt-001/artifact.json,
repair,pilot,c_preserved_unsatisfiable,controls,tight,c,1,budget_exhausted,budget_exhausted,complete,max-depth,max-depth,False,FAIL,2,3,3,0,135,,3,0,0,1,9,9,0,4,True,610513943c2cc09fa4b9b5d0a78805f4c2dc295e035d8e12ae2e165e4532e9ce,/Users/kevin/local-repos/ConcIR/experiments/pilot-v2/results/batches/pilot-v2/raw/c_preserved_unsatisfiable__tight__c__r1/attempt-001/artifact.json,
repair,pilot,c_scope_restricted,controls,main,a,1,no_acceptable_candidate,no_acceptable_candidate,complete,no-acceptable-candidate,,False,FAIL,0,1,1,0,49,,1,0,0,1,7,7,0,3,True,e8d3a9243fdb0c55180c97499263de616603590c0067a27a1ab85003464c3053,/Users/kevin/local-repos/ConcIR/experiments/pilot-v2/results/batches/pilot-v2/raw/c_scope_restricted__main__a__r1/attempt-001/artifact.json,
repair,pilot,c_scope_restricted,controls,main,a,2,no_acceptable_candidate,no_acceptable_candidate,complete,no-acceptable-candidate,,False,FAIL,0,1,1,0,49,,1,0,0,1,7,7,0,4,True,e8d3a9243fdb0c55180c97499263de616603590c0067a27a1ab85003464c3053,/Users/kevin/local-repos/ConcIR/experiments/pilot-v2/results/batches/pilot-v2/raw/c_scope_restricted__main__a__r2/attempt-001/artifact.json,
repair,pilot,c_scope_restricted,controls,main,a,3,no_acceptable_candidate,no_acceptable_candidate,complete,no-acceptable-candidate,,False,FAIL,0,1,1,0,49,,1,0,0,1,7,7,0,3,True,e8d3a9243fdb0c55180c97499263de616603590c0067a27a1ab85003464c3053,/Users/kevin/local-repos/ConcIR/experiments/pilot-v2/results/batches/pilot-v2/raw/c_scope_restricted__main__a__r3/attempt-001/artifact.json,
repair,pilot,c_scope_restricted,controls,main,b,1,no_acceptable_candidate,no_acceptable_candidate,complete,no-acceptable-candidate,,False,FAIL,0,1,1,0,49,,1,0,0,1,7,7,0,4,True,5b35a5dd7989b9b20b9e4bb940d527730ddfdbafe372b6d1a9f8629c38133077,/Users/kevin/local-repos/ConcIR/experiments/pilot-v2/results/batches/pilot-v2/raw/c_scope_restricted__main__b__r1/attempt-001/artifact.json,
repair,pilot,c_scope_restricted,controls,main,b,2,no_acceptable_candidate,no_acceptable_candidate,complete,no-acceptable-candidate,,False,FAIL,0,1,1,0,49,,1,0,0,1,7,7,0,3,True,5b35a5dd7989b9b20b9e4bb940d527730ddfdbafe372b6d1a9f8629c38133077,/Users/kevin/local-repos/ConcIR/experiments/pilot-v2/results/batches/pilot-v2/raw/c_scope_restricted__main__b__r2/attempt-001/artifact.json,
repair,pilot,c_scope_restricted,controls,main,b,3,no_acceptable_candidate,no_acceptable_candidate,complete,no-acceptable-candidate,,False,FAIL,0,1,1,0,49,,1,0,0,1,7,7,0,3,True,5b35a5dd7989b9b20b9e4bb940d527730ddfdbafe372b6d1a9f8629c38133077,/Users/kevin/local-repos/ConcIR/experiments/pilot-v2/results/batches/pilot-v2/raw/c_scope_restricted__main__b__r3/attempt-001/artifact.json,
repair,pilot,c_scope_restricted,controls,main,c,1,no_acceptable_candidate,no_acceptable_candidate,complete,no-acceptable-candidate,,False,FAIL,0,1,1,0,49,,1,0,0,1,7,7,0,3,True,f621dd1df0d17b2aee5c7a844f2c82bc4cdd4918f497cfae3ca242baf4aa5410,/Users/kevin/local-repos/ConcIR/experiments/pilot-v2/results/batches/pilot-v2/raw/c_scope_restricted__main__c__r1/attempt-001/artifact.json,
repair,pilot,c_scope_restricted,controls,main,c,2,no_acceptable_candidate,no_acceptable_candidate,complete,no-acceptable-candidate,,False,FAIL,0,1,1,0,49,,1,0,0,1,7,7,0,3,True,f621dd1df0d17b2aee5c7a844f2c82bc4cdd4918f497cfae3ca242baf4aa5410,/Users/kevin/local-repos/ConcIR/experiments/pilot-v2/results/batches/pilot-v2/raw/c_scope_restricted__main__c__r2/attempt-001/artifact.json,
repair,pilot,c_scope_restricted,controls,main,c,3,no_acceptable_candidate,no_acceptable_candidate,complete,no-acceptable-candidate,,False,FAIL,0,1,1,0,49,,1,0,0,1,7,7,0,3,True,f621dd1df0d17b2aee5c7a844f2c82bc4cdd4918f497cfae3ca242baf4aa5410,/Users/kevin/local-repos/ConcIR/experiments/pilot-v2/results/batches/pilot-v2/raw/c_scope_restricted__main__c__r3/attempt-001/artifact.json,
repair,pilot,c_scope_restricted,controls,tight,a,1,no_acceptable_candidate,no_acceptable_candidate,complete,no-acceptable-candidate,,False,FAIL,0,1,1,0,49,,1,0,0,1,7,7,0,3,True,4bd02ab7e1da50b0388ad42e25ecedfcd22c4c6d8c8a2e86ba749ea9ab1bd5bf,/Users/kevin/local-repos/ConcIR/experiments/pilot-v2/results/batches/pilot-v2/raw/c_scope_restricted__tight__a__r1/attempt-001/artifact.json,
repair,pilot,c_scope_restricted,controls,tight,b,1,no_acceptable_candidate,no_acceptable_candidate,complete,no-acceptable-candidate,,False,FAIL,0,1,1,0,49,,1,0,0,1,7,7,0,4,True,f6b51c27e996c349c4724638e2dab885997f31865911ff5f751ebf46626af24c,/Users/kevin/local-repos/ConcIR/experiments/pilot-v2/results/batches/pilot-v2/raw/c_scope_restricted__tight__b__r1/attempt-001/artifact.json,
repair,pilot,c_scope_restricted,controls,tight,c,1,no_acceptable_candidate,no_acceptable_candidate,complete,no-acceptable-candidate,,False,FAIL,0,1,1,0,49,,1,0,0,1,7,7,0,3,True,8241d10c47ed628ed23808288a1aec4c8803f5aa87aa3c1e4a91603ffa4c7981,/Users/kevin/local-repos/ConcIR/experiments/pilot-v2/results/batches/pilot-v2/raw/c_scope_restricted__tight__c__r1/attempt-001/artifact.json,
repair,pilot,e_module_order,enumerate_order,main,a,1,no_acceptable_candidate,no_acceptable_candidate,complete,no-acceptable-candidate,,False,FAIL,4,5,5,0,9927,,5,0,0,1,237,237,0,283,True,340a998caee0b08c5fed3f9173797d3419397e10ef3e9c1e03d57c296751dd58,/Users/kevin/local-repos/ConcIR/experiments/pilot-v2/results/batches/pilot-v2/raw/e_module_order__main__a__r1/attempt-001/artifact.json,
repair,pilot,e_module_order,enumerate_order,main,a,2,no_acceptable_candidate,no_acceptable_candidate,complete,no-acceptable-candidate,,False,FAIL,4,5,5,0,9927,,5,0,0,1,237,237,0,280,True,340a998caee0b08c5fed3f9173797d3419397e10ef3e9c1e03d57c296751dd58,/Users/kevin/local-repos/ConcIR/experiments/pilot-v2/results/batches/pilot-v2/raw/e_module_order__main__a__r2/attempt-001/artifact.json,
repair,pilot,e_module_order,enumerate_order,main,a,3,no_acceptable_candidate,no_acceptable_candidate,complete,no-acceptable-candidate,,False,FAIL,4,5,5,0,9927,,5,0,0,1,238,238,0,281,True,340a998caee0b08c5fed3f9173797d3419397e10ef3e9c1e03d57c296751dd58,/Users/kevin/local-repos/ConcIR/experiments/pilot-v2/results/batches/pilot-v2/raw/e_module_order__main__a__r3/attempt-001/artifact.json,
repair,pilot,e_module_order,enumerate_order,main,b,1,repaired,repaired,complete,solved,,False,FAIL,7,7,7,1,13445,,7,2,2,0,315,315,0,394,True,1729ffdfc8f940800206d662d3f5c2b7c333541915ee18501e1c59800c289dd6,/Users/kevin/local-repos/ConcIR/experiments/pilot-v2/results/batches/pilot-v2/raw/e_module_order__main__b__r1/attempt-001/artifact.json,
